รหัสจังหวัด,จังหวัด,เขต,ผู้ชนะ,พรรค,คะแนน,คะแนนดี,ผู้มีสิทธิ,มาใช้สิทธิ
56,พะเยา,1,นายอัครา พรหมเผ่า,กล้าธรรม,66739,91616,124913,98639
56,พะเยา,2,นายอนุรัตน์ ตันบรรจง,กล้าธรรม,55400,88518,127935,96038
56,พะเยา,3,นายจีรเดช ศรีวิราช,กล้าธรรม,59470,89651,130337,97854
57,เชียงราย,1,นายธนรัช จงสุทธานามณี,เพื่อไทย,44084,98917,141608,109317
57,เชียงราย,2,นางสาวปิยะรัฐชย์ ติยะไพรัช,เพื่อไทย,34901,88811,132614,100731
57,เชียงราย,3,นายพิทักษ์ แสงคำ,กล้าธรรม,34046,91475,139953,104922
57,เชียงราย,4,นายสุรสิทธิ์ เจียมวิจักษณ์,กล้าธรรม,34210,95195,141565,107048
57,เชียงราย,5,นายรังสรรค์ วันไชยธนวงศ์,ภูมิใจไทย,53198,91365,132028,99604
57,เชียงราย,6,นางมลธิชา ไชยบาล,กล้าธรรม,28526,76481,126682,85892
57,เชียงราย,7,นายสุธีระพงษ์ วันไชยธนวงศ์,กล้าธรรม,33398,89036,134194,97669
58,แม่ฮ่องสอน,1,นายปกรณ์ จีนาคำ,กล้าธรรม,35870,61134,95247,68159
58,แม่ฮ่องสอน,2,นายสมบัติ ยะสินธุ์,ภูมิใจไทย,24897,67196,96023,74409
60,นครสวรรค์,1,นางสาวภัทราวดี นิโรจน์,ภูมิใจไทย,48861,90110,138722,99113
60,นครสวรรค์,2,นายชานนท์ ไทยเศรษฐ์,ภูมิใจไทย,47296,96984,137003,104185
60,นครสวรรค์,3,นายสัญญา นิลสุพรรณ,กล้าธรรม,53454,90997,146592,100028
60,นครสวรรค์,4,นายมารุต ศรีผึ้ง,ภูมิใจไทย,55825,83748,139645,92413
60,นครสวรรค์,5,นายพีระเดช ศิริวันสาณฑ์,ภูมิใจไทย,61430,87228,139526,94811
60,นครสวรรค์,6,นายประสาท ตันประเสริฐ,ภูมิใจไทย,36543,85258,136823,90286
61,อุทัยธานี,1,นายเจเศรษฐ์ ไทยเศรษฐ์,ภูมิใจไทย,56483,76524,127311,84560
61,อุทัยธานี,2,นายชาดา ไทยเศรษฐ์,ภูมิใจไทย,54284,77470,134528,83898
62,กำแพงเพชร,1,นายไผ่ ลิกค์,กล้าธรรม,45347,90911,144685,101442
62,กำแพงเพชร,2,นายเพชรภูมิ อาภรณ์รัตน์,กล้าธรรม,42302,97504,147930,105321
62,กำแพงเพชร,3,นายนพพล ผลอำนวย,เพื่อไทย,33653,83994,137857,91355
62,กำแพงเพชร,4,นายสุรสิทธิ์ วงศ์วิทยานันท์,เพื่อไทย,38450,86283,138876,93620
63,ตาก,1,นายธนัสถ์ ทวีเกื้อกูลกิจ,ภูมิใจไทย,37819,96390,150581,105329
63,ตาก,2,นายชิงชัย ก่อประภากิจ,กล้าธรรม,25259,61640,136061,89186
63,ตาก,3,นายภาคภูมิ บูลย์ประมุข,กล้าธรรม,30644,85954,134495,96512
64,สุโขทัย,1,นางสาวณัคนางค์ กุลนาถศิริ,เพื่อไทย,30925,74658,118249,84340
64,สุโขทัย,2,นายชูศักดิ์ คีรีมาศทอง,เพื่อไทย,32650,71207,118270,78246
64,สุโขทัย,3,นางสาวประภาพร ทองปากน้ำ,เพื่อไทย,47416,73310,120495,83731
64,สุโขทัย,4,นายสมเจตน์ ลิมปะพันธุ์,ภูมิใจไทย,48293,82780,120229,87668
65,พิษณุโลก,1,นายณฐชนน ชนะบูรณาศักดิ์,ประชาชน,34692,89782,139505,99468
65,พิษณุโลก,2,นายนพพล เหลืองทองนารา,เพื่อไทย,40429,88246,147554,101319
65,พิษณุโลก,3,นายพงษ์มนู ทองหนัก,ภูมิใจไทย,42353,87798,142882,94938
65,พิษณุโลก,4,นายนิยม ช่างพินิจ,ภูมิใจไทย,42805,88736,128190,94492
65,พิษณุโลก,5,นายจุติ ไกรฤกษ์,ภูมิใจไทย,34149,87172,132621,94537
66,พิจิตร,1,นายภัทรพงศ์ ภัทรประสิทธิ์,ภูมิใจไทย,53293,91069,145512,100830
66,พิจิตร,2,นายวินัย ภัทรประสิทธิ์,ภูมิใจไทย,46639,83178,140325,91079
66,พิจิตร,3,นายศิริวัฒน์ ขจรประศาสน์,ภูมิใจไทย,39021,94660,141664,100598
67,เพชรบูรณ์,1,นางสาวพิมพ์พร พรพฤฒิพันธุ์,ภูมิใจไทย,50631,80630,131110,88736
67,เพชรบูรณ์,2,นายยุพราช บัวอินทร์,ภูมิใจไทย,41515,95529,131081,100198
67,เพชรบูรณ์,3,นายบุญชัย กิตติธราทรัพย์,ภูมิใจไทย,39652,85510,126659,92278
67,เพชรบูรณ์,4,นายวรโชติ สุคนธ์ขจร,ภูมิใจไทย,48590,72394,126049,78124
67,เพชรบูรณ์,5,นางวันเพ็ญ พร้อมพัฒน์,ภูมิใจไทย,45747,73475,132078,81841
67,เพชรบูรณ์,6,นายอัคร ทองใจสด,ภูมิใจไทย,59008,81129,137973,87405
70,ราชบุรี,1,นางสาวกุลวลี นพอมรบดี,ภูมิใจไทย,56407,97874,140141,106701
70,ราชบุรี,2,นางบุญยิ่ง นิติกาญจนา,กล้าธรรม,43510,89818,139159,101443
70,ราชบุรี,3,นายจตุพร กมลพันธ์ทิพย์,กล้าธรรม,51702,96267,143882,110523
70,ราชบุรี,4,นายอัครเดช วงษ์พิทักษ์โรจน์,ภูมิใจไทย,55778,107579,140230,112928
70,ราชบุรี,5,นายบุญลือ ประเสริฐโสภา,ภูมิใจไทย,45150,108560,133773,114688
71,กาญจนบุรี,1,นายอัครนันท์ กัณณ์กิตตินันท์,เพื่อไทย,38572,85850,133198,96564
71,กาญจนบุรี,2,นายชูเกียรติ จีนาภักดิ์,ภูมิใจไทย,39327,97680,131663,103736
71,กาญจนบุรี,3,นายยศวัฒน์ มาไพศาลสิน,ภูมิใจไทย,50759,107950,136011,113958
71,กาญจนบุรี,4,นางสาววิสุดา วิเชียรศิลป์,ภูมิใจไทย,52505,82897,133796,93526
71,กาญจนบุรี,5,นายพนม โพธิ์แก้ว,เพื่อไทย,39023,82962,122645,89052
72,สุพรรณบุรี,1,นายสรชัด สุจิตต์,ภูมิใจไทย,63205,94634,135381,102476
72,สุพรรณบุรี,2,นายณัฐวุฒิ ประเสริฐสุวรรณ,ภูมิใจไทย,45546,84520,129576,91578
72,สุพรรณบุรี,3,นายณัฐชาติ วงศ์ประเสริฐ,กล้าธรรม,47179,101452,130523,106772
72,สุพรรณบุรี,4,นายเสมอกัน เที่ยงธรรม,ภูมิใจไทย,58049,90996,137556,99626
72,สุพรรณบุรี,5,นายประภัตร โพธสุธน,ภูมิใจไทย,60036,98539,144799,108630
73,นครปฐม,1,นายศุภโชค ศรีสุขจร,ภูมิใจไทย,57347,95931,129731,104422
73,นครปฐม,2,พันโท สินธพ แก้วพิจิตร,กล้าธรรม,44487,88517,120935,96412
73,นครปฐม,3,นายพาณุวัฒณ์ สะสมทรัพย์,ภูมิใจไทย,48099,83624,119354,91278
73,นครปฐม,4,พันเอก สุขชาต สะสมทรัพย์,ภูมิใจไทย,50336,97930,128771,105127
73,นครปฐม,5,นายอนุชา สะสมทรัพย์,ภูมิใจไทย,40896,99742,131064,107208
73,นครปฐม,6,นายชลพฤกษ วงศ์อรุณนิยม,ประชาชน,38535,89774,126887,97368
74,สมุทรสาคร,1,นายณัฐพงษ์ สุมโนธรรม,ประชาชน,32553,80970,119400,88046
74,สมุทรสาคร,2,นายอนุสรณ์ ไกรวัตนุสสรณ์,ภูมิใจไทย,34749,78050,119053,85606
74,สมุทรสาคร,3,นายศิริโรจน์ ธนิกกุล,ประชาชน,30787,74704,111970,81870
74,สมุทรสาคร,4,นายปัญญา ซวนบุญ,ภูมิใจไทย,42758,78327,112307,84850
75,สมุทรสงคราม,1,นายอานุภาพ ลิขิตอำนวยชัย,ประชาชน,39492,101938,156144,113409
76,เพชรบุรี,1,นางธิวัลรัตน์ อังกินันทน์,ภูมิใจไทย,61734,89618,125465,99383
76,เพชรบุรี,2,นายฤกษ์ อยู่ดี,ภูมิใจไทย,67251,95907,139314,105819
76,เพชรบุรี,3,จ่าอากาศเอก อภิชาติ แก้วโกศล,ภูมิใจไทย,71153,95005,131561,103294
77,ประจวบคีรีขันธ์,1,นายสังคม แดงโชติ,ภูมิใจไทย,51582,112249,152841,118298
77,ประจวบคีรีขันธ์,2,นายจักพันธ์ ปิยพรไพบูลย์,กล้าธรรม,43420,96454,146320,103565
77,ประจวบคีรีขันธ์,3,นายพงษ์พันธ์ เผ่าประทาน,ภูมิใจไทย,33978,98409,138338,103420
80,นครศรีธรรมราช,1,นายทรงศักดิ์ มุสิกอง,ประชาธิปัตย์,39225,91623,132977,99799
80,นครศรีธรรมราช,2,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,45334,91714,141832,100576
80,นครศรีธรรมราช,3,นายพิทักษ์เดช เดชเดโช,ประชาธิปัตย์,47554,93045,133600,98207
80,นครศรีธรรมราช,4,นางกนกพร เดชเดโช,ประชาธิปัตย์,44890,97047,135858,103162
80,นครศรีธรรมราช,5,นายสมศักดิ์ แสงอารยะกุล,กล้าธรรม,36801,100294,140274,106726
80,นครศรีธรรมราช,6,นายจอมไกร สวัสดิวงศ์,ประชาธิปัตย์,43293,100028,134535,105027
80,นครศรีธรรมราช,7,นายอภินันท์ สโมสร,ภูมิใจไทย,38684,82744,136273,99078
80,นครศรีธรรมราช,8,นางอวยพรศรี เชาวลิต,ภูมิใจไทย,54040,92847,136225,99928
80,นครศรีธรรมราช,9,นางสาวพิมพ์ภัทรา วิชัยกุล,ภูมิใจไทย,46473,96071,139759,102098
81,กระบี่,1,นายกิตติ กิตติธรกุล,ภูมิใจไทย,50493,90061,128645,97431
81,กระบี่,2,นายถิรเดช ตั้งมั่นก่อกิจ,ภูมิใจไทย,42714,78999,117641,86116
81,กระบี่,3,นายกิตติชัย เอ่งฉ้วน,ภูมิใจไทย,47416,87853,124286,94677
82,พังงา,1,นายอรรถพล ไตรศรี,ภูมิใจไทย,36274,66345,100343,74406
82,พังงา,2,นายฉกาจ พัฒนกิจวิบูลย์,ภูมิใจไทย,26513,75502,110773,83093
83,ภูเก็ต,1,ว่าที่ร้อยตรีสมชาติ เตชถาวรเจริญ,ประชาชน,19458,66360,103958,72889
83,ภูเก็ต,2,นายเฉลิมพงศ์ แสงดี,ประชาชน,24877,63459,107981,71865
83,ภูเก็ต,3,นางสาวอรทัย เกิดทรัพย์,กล้าธรรม,30360,75128,117627,82182
84,สุราษฎร์ธานี,1,นางสาวกานสินี โอภาสรังสรรค์,ภูมิใจไทย,27647,76258,117091,83141
84,สุราษฎร์ธานี,2,นายพิพิธ รัตนรักษ์,ภูมิใจไทย,27071,81419,118867,86508
84,สุราษฎร์ธานี,3,นางสาววชิราภรณ์ กาญจนะ,ไทรวมพลัง,39958,88689,120055,94207
84,สุราษฎร์ธานี,4,นายสมชาติ ประดิษฐพร,ประชาธิปัตย์,43384,94443,123380,98789
84,สุราษฎร์ธานี,5,นายปรเมษฐ์ จินา,กล้าธรรม,30967,88782,121937,93876
84,สุราษฎร์ธานี,6,นายพิชัย ชมภูพล,ภูมิใจไทย,31707,98147,125056,102222
84,สุราษฎร์ธานี,7,นายพงษ์ศักดิ์ จ่าแก้ว,กล้าธรรม,40358,92005,120275,96637
85,ระนอง,1,นายคงกฤษ ฉัตรมาลีรัตน์,ภูมิใจไทย,59363,83719,143308,96299
86,ชุมพร,1,นายวิชัย สุดสวาสดิ์,ภูมิใจไทย,45966,96247,137061,104168
86,ชุมพร,2,นายกิตติศักดิ์ พรหมรัตน์,ภูมิใจไทย,35467,101248,136820,107786
86,ชุมพร,3,นายสุพล จุลใส,ภูมิใจไทย,42913,94965,135755,101287
90,สงขลา,1,นายสรรเพชญ บุญญามณี,ภูมิใจไทย,44252,86955,128135,97311
90,สงขลา,2,นายจูรี นุ่มแก้ว,ประชาธิปัตย์,32205,78663,108624,82759
90,สงขลา,3,นายสมยศ พลายด้วง,ภูมิใจไทย,36656,93176,133682,105979
90,สงขลา,4,นายชนนพัฒฐ์ นาคสั้ว,กล้าธรรม,45863,95854,126618,101440
90,สงขลา,5,นายวงศ์วชร ขาวทอง,กล้าธรรม,51130,93808,129703,104525
90,สงขลา,6,นายอนุกูล พฤกษานุศักดิ์,ภูมิใจไทย,48391,88960,115747,93834
90,สงขลา,7,นายณัฏฐ์ชนน ศรีก่อเกื้อ,ภูมิใจไทย,36128,93120,126580,98801
90,สงขลา,8,พล.ต.ต.สุรินทร์ ปาลาเร่,กล้าธรรม,43540,94569,120456,99959
90,สงขลา,9,นายศักดิ์สิทธิ์ ขาวทอง,ประชาธิปัตย์,49475,100486,135934,110450
91,สตูล,1,นายพีรพัฒน์ รัชกิจประการ,ภูมิใจไทย,38100,81311,116489,88455
91,สตูล,2,นายวรศิษฎ์ เลียงประสิทธิ์,ภูมิใจไทย,56595,90555,129527,99320
92,ตรัง,1,นายเอกพล ณ พัทลุง,ภูมิใจไทย,35584,90521,124216,99277
92,ตรัง,2,นายทวี สุระบาล,ภูมิใจไทย,42668,95121,131993,101194
92,ตรัง,3,นายกฤตย์อิชย์ ภาคย์อิชณน์,ประชาธิปัตย์,46916,88101,125344,95235
92,ตรัง,4,นายกาญจน์ ตั้งปอง,ประชาธิปัตย์,50809,93671,128358,99517
93,พัทลุง,1,นาวาอากาศเอกอธิคุณ คงมี,ภูมิใจไทย,42209,108788,134471,113867
93,พัทลุง,2,นายวรท เทอดวีระพงศ์,ภูมิใจไทย,58926,117079,144343,122372
93,พัทลุง,3,นายจรัญ จันทร์แก้ว,กล้าธรรม,47653,108849,143511,116554
94,ปัตตานี,1,นายบาฮารุดดีน ยูโซะ,ภูมิใจไทย,24377,69214,95574,74215
94,ปัตตานี,2,นายคอซีย์ มามุ,ภูมิใจไทย,38541,75926,110666,81515
94,ปัตตานี,3,นายบูรฮันธ์ สาเม๊าะ,ภูมิใจไทย,30337,65804,99188,70192
94,ปัตตานี,4,นายยูนัยดี วาบา,กล้าธรรม,30170,80409,110256,83822
94,ปัตตานี,5,นายสาเหะมูหามัด อัลอิดรุส,ภูมิใจไทย,34313,73268,109944,78514
95,ยะลา,1,นายสุไลมาน บือแนปีแน,ประชาชาติ,31446,90522,130009,98981
95,ยะลา,2,นายซูการ์โน มะทา,ประชาชาติ,46972,87642,134281,96577
95,ยะลา,3,นายอับดุลอายี สาแม็ง,ประชาชาติ,34910,86878,131474,95519
96,นราธิวาส,1,นายลุตฟี หะยีอีแต,กล้าธรรม,40637,93825,129176,99498
96,นราธิวาส,2,นายอามินทร์ มะยูโต๊ะ,กล้าธรรม,43594,70635,113207,77970
96,นราธิวาส,3,นายสัมพันธ์ มะยูโซะ,กล้าธรรม,36480,79299,112278,82910
96,นราธิวาส,4,นายซาการียา สะอิ,ภูมิใจไทย,42262,83440,116934,86855
96,นราธิวาส,5,นายกมลศักดิ์ ลีวาเมาะ,ประชาชาติ,47012,88775,125332,93603
